Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
27-12-2010,19,24.8,20.2,81,6,0.2,3,270,0,W 
28-12-2010,18,24.2,20,90,8,0,3,270,1,W 
29-12-2010,19,24.7,21.2,79,8888,0.6,5,270,1,W 
30-12-2010,18,24.9,20.3,94,8888,0.1,5,315,1,NW
31-12-2010,18,25.1,20.8,90,15,0,4,270,1,W 
01-01-2011,19,24.1,21,85,1,0.3,4,270,1,W 
02-01-2011,19,23.9,21.1,81,7,0.2,3,315,1,NW
03-01-2011,19,23.8,19.8,92,0,0.9,6,315,2,NW
04-01-2011,18,24,20.3,90,10,0,4,270,1,W 
05-01-2011,18,24.1,20.8,90,6,0.6,3,270,1,W 
06-01-2011,18,24,20.6,90,10,0,2,180,0,S 
07-01-2011,18,22,20.2,94,10,0.7,3,270,0,W 
08-01-2011,19,23,20.5,88,8888,0,2,270,0,W 
09-01-2011,19,23,20,95,1,0,2,315,0,NW
10-01-2011,18,24,20.5,85,99,0,2,270,0,W 
11-01-2011,18,21.5,19.8,90,1,1.2,6,315,2,NW
12-01-2011,19,22.1,20.1,88,10,0,6,270,2,W 
13-01-2011,18,23.5,20.4,88,19,0,4,270,1,W 
14-01-2011,19,24.2,21.5,72,45,0.8,4,180,1,S 
15-01-2011,19,23.7,20.6,82,0,1.1,4,270,1,W 
16-01-2011,19,23.8,20,87,7,0,4,225,1,SW
17-01-2011,19,23,19.8,95,4,0,3,270,0,W 
18-01-2011,18,21.4,19.7,93,14,0,3,270,0,W 
19-01-2011,19,24.2,20.7,90,3,0,3,315,0,NW
20-01-2011,18,23.2,20.5,84,8888,2.9,6,270,1,W 
21-01-2011,19,22,20,88,1,0.4,2,315,0,NW
22-01-2011,19,24.4,20.4,90,1,0,1,315,0,NW
23-01-2011,18,24,19.9,91,5,0.7,2,135,0,SE
24-01-2011,17,23.4,20.1,87,68,0.1,2,270,0,W 
25-01-2011,18,23.8,20.5,91,1,1.3,5,315,1,NW
26-01-2011,18,24.9,20.3,90,0,0.7,3,315,1,NW
27-01-2011,18,24.6,20.6,89,24,2.9,3,270,0,W 
28-01-2011,18,21.5,20.1,96,34,2.5,4,315,1,NW
29-01-2011,18,23.8,20.2,90,4,0,2,270,0,W 
30-01-2011,18,26.4,21.9,74,4,0.4,5,270,1,W 
31-01-2011,18,25,21.8,83,0,4.8,4,225,1,SW
01-02-2011,18,22.8,19.7,92,0,4.2,4,270,1,W 
02-02-2011,18,23,20.4,86,34,0.9,2,315,0,NW
03-02-2011,18,21.6,20.4,90,12,2.6,1,270,0,W 
04-02-2011,19,21.2,19.3,96,8,0,2,90,0,E 
05-02-2011,18,23,22.2,93,30,0,3,270,1,W 
06-02-2011,19,24.8,20.4,90,8,0,2,315,0,NW
07-02-2011,18,21.6,19.8,94,10,1.1,4,180,1,S 
08-02-2011,18,24.8,20.9,88,6,0,3,270,1,W 
09-02-2011,18,26,21.6,66,15,1.7,2,315,0,SW
10-02-2011,19,26,22.2,75,0,4.2,2,180,0,S 
11-02-2011,19,25.4,21.4,79,0,2.8,4,315,1,NW
12-02-2011,19,24.4,21.5,84,0,4.5,3,315,1,NW
13-02-2011,19,27.6,21.4,82,5,3.3,3,315,1,NW
14-02-2011,19,23.8,20.9,89,19,4.8,2,315,0,NW
15-02-2011,19,24,20.5,88,19,0.3,4,315,1,NW
16-02-2011,19,25.3,20.6,88,0,0,1,135,0,SE
17-02-2011,19,25.6,21.2,84,19,2,3,270,0,W 
18-02-2011,20,26.1,21.8,80,8888,3.7,4,270,1,W 
